date,rate
16/01/2015,1.515278
17/01/2015,1.513145
18/01/2015,1.515048
19/01/2015,1.515048
20/01/2015,1.513638
21/01/2015,1.516162
22/01/2015,1.511933
23/01/2015,1.504800
24/01/2015,1.502370
25/01/2015,1.498801
26/01/2015,1.498801
27/01/2015,1.507898
28/01/2015,1.519584
29/01/2015,1.516749
30/01/2015,1.504121
31/01/2015,1.502404
01/02/2015,1.506852
02/02/2015,1.506852
03/02/2015,1.501907
04/02/2015,1.512505
05/02/2015,1.521757
06/02/2015,1.528842
07/02/2015,1.525541
08/02/2015,1.524402
09/02/2015,1.524402
10/02/2015,1.521780
11/02/2015,1.525251
12/02/2015,1.522441
13/02/2015,1.538130
14/02/2015,1.538604
15/02/2015,1.539954
16/02/2015,1.539954
17/02/2015,1.537551
18/02/2015,1.534060
19/02/2015,1.543698
20/02/2015,1.544974
21/02/2015,1.537468
22/02/2015,1.539800
23/02/2015,1.539800
24/02/2015,1.546946
25/02/2015,1.544736
26/02/2015,1.549151
27/02/2015,1.541640
28/02/2015,1.544032
01/03/2015,1.543508
02/03/2015,1.543508
03/03/2015,1.537374
04/03/2015,1.538900
05/03/2015,1.525879
06/03/2015,1.522847
07/03/2015,1.506728
08/03/2015,1.503703
09/03/2015,1.503703
10/03/2015,1.511327
11/03/2015,1.508751
12/03/2015,1.494545
13/03/2015,1.487763
14/03/2015,1.474502
15/03/2015,1.474144
16/03/2015,1.474144
17/03/2015,1.482360
18/03/2015,1.473405
19/03/2015,1.471021
20/03/2015,1.473405
21/03/2015,1.495663
22/03/2015,1.495294
23/03/2015,1.495294
24/03/2015,1.494199
25/03/2015,1.487298
26/03/2015,1.489115
27/03/2015,1.485200
28/03/2015,1.489492
29/03/2015,1.487509
30/03/2015,1.487509
31/03/2015,1.480823
01/04/2015,1.483944
02/04/2015,1.483349
03/04/2015,1.485222
04/04/2015,1.490302
05/04/2015,1.482844
06/04/2015,1.482844
07/04/2015,1.492504
08/04/2015,1.485730
09/04/2015,1.490313
10/04/2015,1.471454
11/04/2015,1.464654
12/04/2015,1.463358
13/04/2015,1.463358
14/04/2015,1.467136
15/04/2015,1.479804
16/04/2015,1.483349
17/04/2015,1.494768
18/04/2015,1.495886
19/04/2015,1.496401
20/04/2015,1.496401
21/04/2015,1.490535
22/04/2015,1.494768
23/04/2015,1.503974
24/04/2015,1.506069
25/04/2015,1.517681
26/04/2015,1.518799
27/04/2015,1.518799
28/04/2015,1.523229
29/04/2015,1.532238
30/04/2015,1.546193
01/05/2015,1.532414
02/05/2015,1.514234
03/05/2015,1.535249
04/05/2015,1.535249
05/05/2015,1.511830
06/05/2015,1.519503
07/05/2015,1.524623
08/05/2015,1.522533
09/05/2015,1.546922
10/05/2015,1.544056
11/05/2015,1.544056
12/05/2015,1.560062
13/05/2015,1.568000
14/05/2015,1.574134
15/05/2015,1.576044
16/05/2015,1.575461
17/05/2015,1.572599
18/05/2015,1.572599
19/05/2015,1.565460
20/05/2015,1.550207
21/05/2015,1.553036
22/05/2015,1.567619
23/05/2015,1.547748
24/05/2015,1.548947
25/05/2015,1.548947
26/05/2015,1.546910
27/05/2015,1.539646
28/05/2015,1.533472
29/05/2015,1.531311
30/05/2015,1.529520
31/05/2015,1.529403
